date,regime,prior_position,chosen_position,value_0,value_25,value_50,value_75,value_100,visits_0,visits_25,visits_50,visits_75,visits_100
2010-10-18,0,1.0,1.0,,,,-0.0008506098344991089,0.010449238855609793,0,0,0,49,51
2010-10-19,0,1.0,1.0,,,,-0.006949412281460276,0.014384693320667911,0,0,0,48,52
2010-10-20,0,1.0,0.75,,,,0.012664298247379812,0.005543632279228149,0,0,0,51,49
2010-10-21,0,1.0,0.75,,,,0.016299422344322266,0.011732200988632537,0,0,0,51,49
2010-10-22,0,1.0,0.75,,,,0.006875985858009029,0.006224679863368856,0,0,0,50,50
2010-10-25,0,1.0,0.75,,,,-0.006355807708107219,-0.01726411537379609,0,0,0,51,49
2010-10-26,0,1.0,1.0,,,,-0.004482716089315645,-0.0015488845236404272,0,0,0,50,50
2010-10-27,0,1.0,1.0,,,,-0.007352332805659243,0.009358687511415033,0,0,0,48,52
2010-10-28,0,1.0,1.0,,,,0.015473858834420312,0.019790057297844464,0,0,0,49,51
2010-10-29,0,1.0,0.75,,,,0.009087293465732137,0.0050638285450630175,0,0,0,50,50
2010-11-01,0,1.0,0.75,,,,0.008992326453448609,-0.002056211146777974,0,0,0,51,49
2010-11-02,0,1.0,0.75,,,,0.003985424187994493,-0.01947238803576882,0,0,0,53,47
2010-11-03,0,1.0,1.0,,,,0.004565086088223106,0.011879924135579487,0,0,0,49,51
2010-11-04,0,1.0,0.75,,,,0.01335268928727529,0.008331970544608606,0,0,0,51,49
2010-11-05,0,1.0,1.0,,,,0.000809805333258142,0.005786853810779466,0,0,0,49,51
2010-11-08,0,1.0,1.0,,,,0.006140921267615198,0.008852235171394569,0,0,0,50,50
2010-11-09,0,1.0,0.75,,,,0.0022198734228412514,-0.005134481571759113,0,0,0,51,49
2010-11-10,0,1.0,0.75,,,,0.010462253554182902,-0.003805086456109646,0,0,0,52,48
2010-11-11,0,1.0,0.75,,,,0.011675608606649408,-0.0058659843246937704,0,0,0,52,48
2010-11-12,0,1.0,1.0,,,,0.003609207511379362,0.009376188516543236,0,0,0,49,51
2010-11-15,0,1.0,1.0,,,,0.0034771063431624483,0.0065132933415898275,0,0,0,50,50
2010-11-16,2,0.0,0.25,-0.0017556299781873472,0.0007180585125811853,,,,50,50,0,0,0
2010-11-17,2,0.0,0.25,-0.002779622168905986,-0.00031131259627465596,,,,50,50,0,0,0
2010-11-18,0,1.0,0.75,,,,0.01969390859116174,-0.021924057698401767,0,0,0,55,45
2010-11-19,0,1.0,1.0,,,,-0.003285176189676152,0.01291221396292712,0,0,0,48,52
2010-11-22,0,1.0,0.75,,,,0.00802273316636122,-0.006827037419399336,0,0,0,52,48
2010-11-23,0,1.0,1.0,,,,-0.030298149742947648,0.00811153307869357,0,0,0,46,54
2010-11-24,0,1.0,0.75,,,,0.004389470286594594,0.003409927688922267,0,0,0,50,50
2010-11-26,0,1.0,1.0,,,,0.0025567026370069044,0.009289688219190621,0,0,0,49,51
2010-11-29,0,1.0,1.0,,,,-0.0017169875752841778,0.006664515972341416,0,0,0,49,51
2010-11-30,2,0.0,0.25,-0.0007722852725198999,0.004634611469149803,,,,49,51,0,0,0
2010-12-01,0,1.0,0.75,,,,0.009663735094351011,-0.018810935317962307,0,0,0,53,47
2010-12-02,0,1.0,0.75,,,,0.010055204402893618,-0.005887164043121799,0,0,0,52,48
2010-12-03,0,1.0,1.0,,,,0.015739093478316844,0.02599472448110631,0,0,0,49,51
2010-12-06,0,1.0,1.0,,,,-0.0008615927267283926,0.00013137811113882194,0,0,0,50,50
2010-12-07,0,1.0,0.75,,,,0.010979812296143128,0.00874104818631471,0,0,0,50,50
2010-12-08,0,1.0,1.0,,,,-0.006337914855567599,0.0020906213235809094,0,0,0,49,51
