strategy,avg_position,annualized_turnover,min_position,max_position,position_0pct_days,position_25pct_days,position_50pct_days,position_75pct_days,position_100pct_days
Buy & Hold,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
MA200 Trend,0.8055286129970902,4.8273520853540255,0.0,1.0,0.1944713870029098,0.0,0.0,0.0,0.8055286129970902
Vol Target,0.7583274791731945,4.407098887862576,0.0,1.0,0.004849660523763337,0.0,0.00024248302618816683,0.0,0.3157129000969932
Regime Rule,0.34408341416100874,17.965082444228905,0.0,1.0,0.6559165858389913,0.0,0.0,0.0,0.34408341416100874
Regime Rule SPY/Cash,0.34408341416100874,8.982541222114452,0.0,1.0,0.6559165858389913,0.0,0.0,0.0,0.34408341416100874
Market Attractor MCTS,0.4424102812803104,51.11493695441319,0.0,1.0,0.20635305528612996,0.19762366634335596,0.34917555771096026,0.11372453928225024,0.13312318137730358
Market Attractor MCTS MultiAsset,0.5052133850630456,190.86372453928226,0.0,1.0,0.3547526673132881,0.0,0.1782250242483026,0.20368574199806014,0.2633365664403492
