strategy,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,daily_win_rate,avg_daily_turnover
Buy & Hold,7.849912175922556,0.14229882117051051,0.17126577576844532,0.8639894621639677,-0.3371727297052125,0.42203538018902437,0.5535887487875849,0.00024248302618816683
MA200 Trend,3.904566035619929,0.10189099571643734,0.11427341122431302,0.9078023658333957,-0.20159085712874003,0.5054346073411835,0.44835111542192047,0.01915615906886518
Vol Target,3.6427701078174843,0.0982089847162102,0.10166957589258814,0.9738686165575434,-0.12809857578138473,0.7666672647775208,0.5506789524733269,0.017483255418228316
Regime Rule,7.258467863303261,0.13748793407188686,0.15866702131933863,0.8927502204651215,-0.2831903567411047,0.4854965248607657,0.5489815712900097,0.07153249272550921
Regime Rule SPY/Cash,2.328076857546545,0.07612536145533566,0.1305127813071372,0.6284092779582193,-0.2831903567411048,0.2688133958068712,0.19471387002909796,0.03564500484966052
Market Attractor MCTS,2.3232959736549064,0.07603097182038776,0.11078129553504971,0.7182585873987534,-0.31458303026992473,0.24168809027985447,0.4379243452958293,0.19719932104752666
Market Attractor MCTS MultiAsset,2.435649238386286,0.0782161943541888,0.1250290152264922,0.6658154386519134,-0.3203395264087242,0.24416654176603866,0.472356935014549,0.7598205625606208
