date,regime,previous_action,chosen_action,best_action,chosen_value,previous_value,best_value,chosen_minus_previous,best_minus_previous,switched,chose_best
2010-10-18,0,0.0,0.75,0.75,0.0094551530848603,0.0060215574053252,0.0094551530848603,0.0034335956795351003,0.0034335956795351003,True,True
2010-10-19,0,0.75,0.5,0.5,0.0077511794448609,0.0068869362903449,0.0077511794448609,0.0008642431545160005,0.0008642431545160005,True,True
2010-10-20,0,0.5,1.0,1.0,0.0120213599984666,0.0091358204972519,0.0120213599984666,0.0028855395012146994,0.0028855395012146994,True,True
2010-10-21,0,1.0,0.75,0.75,0.0144718934793431,0.0102881669713573,0.0144718934793431,0.0041837265079858,0.0041837265079858,True,True
2010-10-22,0,0.75,0.5,0.5,0.0078842323236579,-0.002744787799917,0.0078842323236579,0.0106290201235749,0.0106290201235749,True,True
2010-10-25,0,0.5,1.0,1.0,0.0128164237813317,0.0027383809844982,0.0128164237813317,0.010078042796833499,0.010078042796833499,True,True
2010-10-26,0,1.0,1.0,1.0,0.0207455343471394,0.0207455343471394,0.0207455343471394,0.0,0.0,False,True
2010-10-27,0,1.0,0.75,0.75,0.0063349348113251,0.0048937952990955,0.0063349348113251,0.0014411395122296,0.0014411395122296,True,True
2010-10-28,0,0.75,1.0,1.0,0.0305522500616933,0.0095642098050439,0.0305522500616933,0.0209880402566494,0.0209880402566494,True,True
2010-10-29,0,1.0,0.75,0.75,0.0216109471297227,0.0083941994427318,0.0216109471297227,0.013216747686990899,0.013216747686990899,True,True
2010-11-01,0,0.75,1.0,1.0,0.0154667130670569,0.0139746559545135,0.0154667130670569,0.0014920571125433997,0.0014920571125433997,True,True
2010-11-02,0,1.0,0.75,0.75,0.0252954542660278,0.0125811598838996,0.0252954542660278,0.012714294382128198,0.012714294382128198,True,True
2010-11-03,0,0.75,1.0,1.0,0.024578929911181,0.0053159602721503,0.024578929911181,0.0192629696390307,0.0192629696390307,True,True
2010-11-04,0,1.0,1.0,0.5,0.0105161690678845,0.0105161690678845,0.0105355954034388,0.0,1.9426335554299096e-05,False,False
2010-11-05,0,1.0,0.75,0.75,0.0158965131923129,-0.0052345333220847,0.0158965131923129,0.021131046514397598,0.021131046514397598,True,True
