Date,Buy & Hold,MA200 Trend,Vol Target,Regime Rule,Regime Rule SPY/Cash,Market Attractor MCTS,Market Attractor MCTS MultiAsset
2024-08-19,6.462158055427098,3.9360128196249744,3.827000507589815,4.5580790280515435,2.460452788256795,2.492160486865087,1.7471598356955846
2024-08-20,6.451649849472845,3.929612413910282,3.8241917277783997,4.584601922248258,2.460452788256795,2.4920358788407437,1.7566274772522636
2024-08-21,6.473822005715177,3.943117173537023,3.8301219200872927,4.582939342616567,2.460452788256795,2.4960688209176363,1.758976105987317
2024-08-22,6.423012433519992,3.9121697522878707,3.815360415034508,4.532753383724653,2.460452788256795,2.491046439629663,1.7440812734921562
2024-08-23,6.4912589205399644,3.9537377618445833,3.8350877185294063,4.573776780989646,2.460452788256795,2.497663473703158,1.759342746155795
2024-08-26,6.475785907512818,3.9443133594838384,3.830630613416071,4.561044900092696,2.4540957925225975,2.491335221046084,1.7589908776065637
2024-08-27,6.4846756396147835,3.949727974727887,3.833187275743132,4.5673061427968165,2.457464689280407,2.49377566759086,1.7610537605052858
2024-08-28,6.447031189986857,3.92679925106431,3.822283866184003,4.54079229143662,2.44319876283331,2.4791742620495163,1.7607015497531848
2024-08-29,6.44760906215377,3.927151225162988,3.822445760308953,4.543306797094673,2.4427101230807433,2.479037453578794,1.760507227885531
2024-08-30,6.509157845241662,3.964639754101522,3.841582115576771,4.584859815514775,2.4655396566501633,2.4966621435312732,1.7441438038945312
2024-09-03,6.375205925524719,3.883051456709682,3.7968589235822963,4.490508013250488,2.414801331048185,2.45812804722858,1.7437949751337523
2024-09-04,6.362156665247465,3.875103329273405,3.7918881649243383,4.51901842312299,2.4143183707819755,2.455489398349989,1.7437949751337523
2024-09-05,6.346682212937212,3.865678050264843,3.7860285393684143,4.550624534652061,2.4143183707819755,2.452503197632813,1.747423599895023
2024-09-06,6.239867256535495,3.800618509145796,3.7448496730611116,4.533552969687434,2.4143183707819755,2.431865326274119,1.725148115002263
2024-09-09,6.309729338841545,3.8431705558775175,3.772672711960543,4.552877687586814,2.4143183707819755,2.445479011357199,1.7319841850242323
2024-09-10,6.337213889026782,3.859911022598208,3.7832920149177696,4.578839747604978,2.4143183707819755,2.4508051424006374,1.7388357413051885
2024-09-11,6.402227746191494,3.899510081157085,3.808346000718758,4.57337939552949,2.4143183707819755,2.4569683413601813,1.7360666128511213
2024-09-12,6.456154805593487,3.9323563215786823,3.8299400015482306,4.602868114153548,2.4143183707819755,2.4568454929431134,1.7472606064893992
2024-09-13,6.489872890909236,3.952893549996446,3.8432232858726216,4.62506602799665,2.4264445902628387,2.469185310275634,1.7547579952033276
2024-09-16,6.499458516392776,3.958732024460198,3.847250825330709,4.631897309830093,2.4300284800384615,2.4707619009281925,1.7607213768753514
2024-09-17,6.502113274081123,3.960349001359355,3.8483771853302042,4.633789246668198,2.431021045307401,2.4713952652123234,1.7603692325999762
2024-09-18,6.482829759031803,3.9486036739020967,3.8399434114331727,4.620046676997858,2.4238112922722967,2.4639422033623113,1.7485580594742853
2024-09-19,6.5934544978141405,4.015983701793749,3.8881497587462763,4.698884387658554,2.4651718556422884,2.5059875713194115,1.7693131039058667
2024-09-20,6.58205825418371,4.009042404375733,3.88356722062248,4.690762752589905,2.460911008909048,2.50165617797969,1.7660780604636173
2024-09-23,6.59850494223182,4.019059858984935,3.890251729714676,4.7024836320960235,2.4670601242943397,2.5079071039323293,1.7678503207388518
2024-09-24,6.617386177653113,4.030560163377236,3.898144049184845,4.715939513587317,2.474119472345617,2.515083333223455,1.7725553508254512
2024-09-25,6.602790407678852,4.0216700778611845,3.892018283578853,4.705537707420209,2.468662381322405,2.5095358894424353,1.7657624150594944
2024-09-26,6.628968088804171,4.037614548363694,3.9029692698857326,4.724193466277064,2.4784497367637,2.5168724657607617,1.772050743336892
2024-09-27,6.619354397300071,4.031758979267503,3.8988872953044615,4.717342182942757,2.4748553536171127,2.5130965162511814,1.769303613509892
2024-09-30,6.645879665295402,4.04791516021791,3.910107240471495,4.736245652694924,2.4847726654218936,2.520523776096951,1.7668473461540068
2024-10-01,6.586342999989189,4.011652184928073,3.884389404787675,4.693816315055094,2.462512996876319,2.509107778676989,1.750665793751454
2024-10-02,6.589122975307727,4.013345430187342,3.885699357301496,4.695797489358592,2.4635523787234086,2.509776609779392,1.7473565742363029
2024-10-03,6.577076175713548,4.00600788795587,3.879564998903213,4.687212229757103,2.459048301032423,2.5050625321553,1.7408453078930297
2024-10-04,6.636846004882872,4.042412880192122,3.9100575992562274,4.7298077337118,2.481395145275242,2.516194527457888,1.7564913269893203
2024-10-07,6.57684445113354,4.005866747657272,3.8746024270332873,4.687047089160228,2.458961663456766,2.499007648994351,1.7410969498165703
2024-10-08,6.639045229468285,4.043752398057079,3.9112466396933,4.731375030805118,2.482217395061601,2.5167335001210036,1.757389336515034
2024-10-09,6.685031044334927,4.071761734146282,3.937709420972838,4.764147233540765,2.4994106488568013,2.5340399954764434,1.7469055808779774
2024-10-10,6.67333183161076,4.064635902362708,3.9308004244690307,4.755809684834588,2.4950365275293014,2.530587249876945,1.7465561997618018
2024-10-11,6.713293527038761,4.088976029012267,3.954339108489929,4.784288744910494,2.5099774734182154,2.541952624717277,1.752210160279083
2024-10-14,6.7681957007448235,4.12241619833014,3.9866781998394405,4.823415270612834,2.5305043904506506,2.5575439351514975,1.751436768080713
2024-10-15,6.715610053197283,4.090386993674341,3.9558992547879286,4.785939638020243,2.5108435801139906,2.5474806106134027,1.7511246423552977
2024-10-16,6.744798714579594,4.108165411410809,3.972010431353506,4.806741198918473,2.5217566859172384,2.553016782929259,1.7507744174268267
2024-10-17,6.745378026029613,4.108518262157304,3.9723267711231167,4.807154050410659,2.5219732798563808,2.5530535912441614,1.750574636736751
