strategy,avg_position,annualized_turnover,min_position,max_position,position_0pct_days,position_25pct_days,position_50pct_days,position_75pct_days,position_100pct_days
Buy & Hold,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
MA200 Trend,0.8055286129970902,4.8273520853540255,0.0,1.0,0.1944713870029098,0.0,0.0,0.0,0.8055286129970902
Vol Target,0.7583274791731945,4.407098887862576,0.0,1.0,0.004849660523763337,0.0,0.00024248302618816683,0.0,0.3157129000969932
Regime Rule,0.34408341416100874,17.965082444228905,0.0,1.0,0.6559165858389913,0.0,0.0,0.0,0.34408341416100874
Regime Rule SPY/Cash,0.34408341416100874,8.982541222114452,0.0,1.0,0.6559165858389913,0.0,0.0,0.0,0.34408341416100874
Market Attractor MCTS,0.4371968962172648,50.09141610087294,0.0,1.0,0.22114451988360814,0.18355965082444228,0.3457807953443259,0.12439379243452958,0.1251212415130941
Market Attractor MCTS MultiAsset,0.48526915615906885,193.4301648884578,0.0,1.0,0.3734238603297769,0.0,0.18040737148399613,0.20441319107662465,0.24175557710960233
