date,regime,prior_position,previous_position,chosen_position,value_0,value_25,value_50,value_75,value_100,visits_0,visits_25,visits_50,visits_75,visits_100
2010-10-18,0,1.0,0.0,0.25,0.001813693285003818,0.005145825954264678,-0.00024837977303190787,0.0026601925693117085,-0.0024486683596716607,20,20,20,20,20
2010-10-19,0,1.0,0.25,0.75,0.003287146329457487,0.00046708134284366605,0.0010984231264622773,0.008595145480404345,-0.008618344437366846,20,20,20,20,20
2010-10-20,0,1.0,0.75,0.5,0.004480365980194497,0.002183041204144419,0.005212730045694705,-0.0024663539299239782,0.0030272639884666025,20,20,20,20,20
2010-10-21,0,1.0,0.5,1.0,0.009435225943427963,0.003799034833586244,0.0033793802607538317,-0.0026045323657354607,0.017921448818744398,20,20,20,19,21
2010-10-22,0,1.0,1.0,1.0,-0.0023110359156328503,-0.001286298887971948,-0.0008092195611249386,-0.01425081595396904,0.00437713848046413,20,20,20,19,21
2010-10-25,0,1.0,1.0,0.25,-0.00024944106419500954,0.008586267690451139,0.00017955968986983891,0.007502441513590387,0.005605824537283576,20,20,20,20,20
2010-10-26,0,1.0,0.25,0.75,0.0025294614414283485,-0.0049964326734804575,-0.0053905048232369785,0.0054032818431981,-0.007369456706344984,20,20,20,20,20
2010-10-27,0,1.0,0.75,0.5,0.006262219217019473,-0.0023811218920189387,0.0063729299402645375,-0.011662213649572857,0.001650313668382996,21,20,20,19,20
2010-10-28,0,1.0,0.5,0.25,-0.004179721040254216,0.008740585586375355,0.0033077174304078382,-0.01521773642253138,0.0008774057143067706,20,21,20,19,20
2010-10-29,0,1.0,0.25,0.25,0.0050868610145543836,0.008232830509438422,-0.004466167965011803,-0.0030050452780972545,0.002006037096056286,20,20,20,20,20
2010-11-01,0,1.0,0.25,0.75,0.00187121542156878,0.0013399430941018725,0.001113918074555388,0.010815182859368463,-0.003654209144635845,20,20,20,20,20
2010-11-02,0,1.0,0.75,1.0,-0.00031831085678632253,-0.007946808638567693,0.008825112010571925,0.004679753119887714,0.009182469935049018,20,20,20,20,20
2010-11-03,0,1.0,1.0,0.25,-0.004584203854046223,0.0009730299476597596,-0.017900151020651917,0.0003327059902959468,0.0001813175259518224,20,20,19,20,21
2010-11-04,0,1.0,0.25,1.0,-0.0009984980581790792,-0.0008984150342194189,0.0019949373455239853,0.0007465233035595275,0.0038479392961573945,20,20,20,20,20
2010-11-05,0,1.0,1.0,0.5,0.0026062652836438857,-0.0010205189140534622,0.007856724224838197,-0.0052884858142913885,-0.00043864690243968147,20,20,20,20,20
2010-11-08,0,1.0,0.5,0.75,0.0005526392102963032,0.0029838727752516912,0.0038757720661845817,0.0093835874667807,0.0023099650637800036,20,20,20,20,20
2010-11-09,0,1.0,0.75,0.25,0.0044256235385893945,0.007502919852058169,-0.005882329155485371,-0.004273530897370131,-0.005080632257753027,20,20,20,20,20
2010-11-10,0,1.0,0.25,1.0,-0.003801012891813023,0.0021040030476003196,-0.00037788977686768163,0.0018677432469015986,0.004542038125101559,20,20,20,20,20
2010-11-11,0,1.0,1.0,1.0,0.0005058283711175577,0.0031508027634243757,0.007449454604529974,0.004330807417015493,0.014163662284475808,20,20,20,20,20
2010-11-12,0,1.0,1.0,1.0,-0.0017424664063937112,0.0004615773702574279,-0.0046173380571172245,0.0026966339436661577,0.009610026408105033,20,20,20,20,20
2010-11-15,0,1.0,1.0,0.25,0.0026113288729059576,0.007110239591941399,0.004219271514203266,0.004163058719914911,-0.00827345070183628,20,20,20,20,20
2010-11-16,2,0.0,0.25,1.0,-0.0016798760617774417,-0.002078128286399232,0.00028045341367853225,-0.022817534391685726,0.002494951502680064,20,20,20,19,21
2010-11-17,2,0.0,1.0,1.0,-0.0020423015982687716,0.0030441590645736566,0.00044431556274125906,0.00459391187026093,0.015030076171953111,20,20,20,20,20
2010-11-18,0,1.0,1.0,0.75,-0.001501144363209896,0.003454822050600325,0.006558385965281725,0.007143588522910917,-0.019651564694558504,20,20,20,21,19
2010-11-19,0,1.0,0.75,1.0,-0.0013656539005366577,0.0017162256894286694,-0.003357453238341247,-0.007736490451244157,0.005991928665854935,20,20,20,20,20
2010-11-22,0,1.0,1.0,0.5,0.004345441232601675,0.0006036058927549842,0.013137952251253264,-0.010150487400534902,0.002724181088792099,20,20,21,19,20
2010-11-23,0,1.0,0.5,1.0,-0.0032079015365715042,-0.0030055634090735534,0.0009570140077676644,-0.0012988326210495462,0.013020349267289049,20,20,20,20,20
2010-11-24,0,1.0,1.0,0.75,0.006134523231386197,-0.0028491335097297703,-0.004144954961146329,0.0170456186788796,0.005367307281474439,20,20,19,21,20
2010-11-26,0,1.0,0.75,1.0,0.0025792669111929407,0.006110098055703545,0.0009007094522216606,0.00945532272240514,0.019371407546637274,20,20,19,20,21
2010-11-29,0,1.0,1.0,0.5,-0.0018543430635263446,-0.0025665875679483025,0.004759655190770292,-0.005107276343460346,-0.007754183169978146,20,20,20,20,20
2010-11-30,2,0.0,0.5,0.0,0.006697234692841392,0.0011037802141391788,-0.0020160407833680954,0.0026288896649110027,-0.009347659335990927,20,20,20,20,20
2010-12-01,0,1.0,0.0,1.0,-0.0019282358086740324,-0.0016075670010485443,0.0019419972397525266,0.00303512876212791,0.017873832661439843,19,20,20,20,21
2010-12-02,0,1.0,1.0,1.0,0.0033186118751041037,0.0044036304131039265,-0.0004057060282674564,0.005990468251751553,0.00587388712821866,20,20,20,20,20
2010-12-03,0,1.0,1.0,0.5,-0.0013889680847742215,0.002681178806809518,0.008660802800528184,-0.0006573809678275781,0.0014196376980815555,20,20,20,20,20
2010-12-06,0,1.0,0.5,0.5,-0.0032387337181791374,0.003188966178825072,0.004717995310116303,-0.03338094075324493,-0.009105655638003292,20,20,21,19,20
2010-12-07,0,1.0,0.5,0.75,9.441083234761404e-05,-0.0005317603764663097,-0.004588367756191918,0.003642515195324087,-0.00863579954280529,20,20,20,20,20
2010-12-08,0,1.0,0.75,0.25,0.002658630229880392,0.008561700401467698,0.004048819739775909,0.008024868128600768,0.0015903820994629717,20,20,20,20,20
2010-12-09,0,1.0,0.25,0.5,-0.004988237878354562,0.004302753281910833,0.0126075470693822,-0.002910978379364759,0.010797113422952353,19,20,21,20,20
