strategy,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,daily_win_rate,avg_daily_turnover
Buy & Hold,7.849908193699662,0.14229878980734179,0.17126574046626195,0.8639894449897766,-0.33717254951465203,0.4220355127135227,0.5535887487875849,0.00024248302618816683
MA200 Trend,3.9045622777512747,0.1018909442014837,0.11427340378921619,0.9078020050284124,-0.2015904294592341,0.505435424066539,0.44835111542192047,0.01915615906886518
Vol Target,3.642786945913647,0.09820922774267604,0.10166957075040632,0.9738708401578602,-0.12809824432663874,0.7666711457204014,0.5506789524733269,0.017483253613369058
Regime Rule,7.258469556965284,0.13748794830590572,0.15866696589304768,0.8927505558455953,-0.28319045639322504,0.48549640428205804,0.5489815712900097,0.07153249272550921
Regime Rule SPY/Cash,2.3280733784447194,0.07612529281326386,0.1305126825110666,0.6284091657872556,-0.28319045639322493,0.2688130588255413,0.19471387002909796,0.03564500484966052
Market Attractor MCTS,2.185766063352752,0.07325961913345891,0.10927701588845537,0.7026875353413591,-0.20119988535050992,0.3641136226585491,0.43889427740058196,0.1992604267701261
Market Attractor MCTS MultiAsset,1.9051426637315156,0.06723795583439296,0.12417465431393303,0.5869670464685773,-0.3030015340550971,0.22190632151112002,0.45950533462657617,0.7573957322987391
