date,regime,previous_action,chosen_action,best_action,chosen_value,previous_value,best_value,chosen_minus_previous,best_minus_previous,switched,chose_best
2010-10-18,0,0.0,1.0,1.0,0.0049041596094606,0.004226842343349,0.0049041596094606,0.0006773172661116,0.0006773172661116,True,True
2010-10-19,0,1.0,0.75,0.75,0.0071042846079215,0.0060825673478678,0.0071042846079215,0.0010217172600537,0.0010217172600537,True,True
2010-10-20,0,0.75,0.5,0.5,-4.870536702295047e-05,-0.0033202621498785,-4.870536702295047e-05,0.003271556782855549,0.003271556782855549,True,True
2010-10-21,0,0.5,0.75,0.75,0.0077852293033682,0.0005545163833048,0.0077852293033682,0.0072307129200634,0.0072307129200634,True,True
2010-10-22,0,0.75,0.75,0.75,0.0064475495339154,0.0064475495339154,0.0064475495339154,0.0,0.0,False,True
2010-10-25,0,0.75,0.75,0.75,0.0008080151443596,0.0008080151443596,0.0008080151443596,0.0,0.0,False,True
2010-10-26,0,0.75,0.75,0.75,0.0070850779880906,0.0070850779880906,0.0070850779880906,0.0,0.0,False,True
2010-10-27,0,0.75,1.0,1.0,0.0101711881407743,0.0027179986401967,0.0101711881407743,0.007453189500577599,0.007453189500577599,True,True
2010-10-28,0,1.0,1.0,1.0,0.0103284493357397,0.0103284493357397,0.0103284493357397,0.0,0.0,False,True
2010-10-29,0,1.0,0.5,0.5,0.0072968546695238,-0.0035607935313876,0.0072968546695238,0.0108576482009114,0.0108576482009114,True,True
2010-11-01,0,0.5,1.0,1.0,0.0091995556239634,0.001918678245748,0.0091995556239634,0.0072808773782154,0.0072808773782154,True,True
2010-11-02,0,1.0,1.0,1.0,-0.0023897315624371,-0.0023897315624371,-0.0023897315624371,0.0,0.0,False,True
2010-11-03,0,1.0,1.0,1.0,0.0033014775912455,0.0033014775912455,0.0033014775912455,0.0,0.0,False,True
2010-11-04,0,1.0,1.0,1.0,0.0051129735893189,0.0051129735893189,0.0051129735893189,0.0,0.0,False,True
2010-11-05,0,1.0,0.75,0.75,0.0027782153541483,-0.013687505726976,0.0027782153541483,0.0164657210811243,0.0164657210811243,True,True
2010-11-08,0,0.75,0.5,0.5,0.0073400423146785,-0.0038037777851978,0.0073400423146785,0.0111438200998763,0.0111438200998763,True,True
2010-11-09,0,0.5,0.75,0.75,0.013195059910099,0.0009072412683132,0.013195059910099,0.0122878186417858,0.0122878186417858,True,True
2010-11-10,0,0.75,1.0,1.0,0.0012801958447611,-0.0009750335140749,0.0012801958447611,0.002255229358836,0.002255229358836,True,True
2010-11-11,0,1.0,1.0,1.0,0.0032175476383017,0.0032175476383017,0.0032175476383017,0.0,0.0,False,True
2010-11-12,0,1.0,0.5,0.5,-0.0009416745364163,-0.0188360068081117,-0.0009416745364163,0.0178943322716954,0.0178943322716954,True,True
2010-11-15,0,0.5,0.5,0.5,0.0065970312503097,0.0065970312503097,0.0065970312503097,0.0,0.0,False,True
2010-11-16,2,0.5,0.5,0.5,0.0076550912975551,0.0076550912975551,0.0076550912975551,0.0,0.0,False,True
2010-11-17,2,0.5,0.5,0.5,-0.001143136003974,-0.001143136003974,-0.001143136003974,0.0,0.0,False,True
2010-11-18,0,0.5,1.0,1.0,-0.0017733293002543,-0.0048828973107615,-0.0017733293002543,0.0031095680105071993,0.0031095680105071993,True,True
2010-11-19,0,1.0,1.0,1.0,0.0262569143461119,0.0262569143461119,0.0262569143461119,0.0,0.0,False,True
2010-11-22,0,1.0,0.75,0.75,0.0097749608199304,-0.0122978833126911,0.0097749608199304,0.0220728441326215,0.0220728441326215,True,True
2010-11-23,0,0.75,1.0,1.0,0.0108910272900341,-0.0057392682025125,0.0108910272900341,0.0166302954925466,0.0166302954925466,True,True
2010-11-24,0,1.0,0.5,0.5,0.0078294083957975,-0.0047357700970665,0.0078294083957975,0.012565178492864,0.012565178492864,True,True
2010-11-26,0,0.5,0.75,0.75,0.0055812161523659,-0.0064974170136218,0.0055812161523659,0.012078633165987701,0.012078633165987701,True,True
2010-11-29,0,0.75,1.0,1.0,0.0071867301635695,0.0015748765421177,0.0071867301635695,0.0056118536214518,0.0056118536214518,True,True
2010-11-30,2,1.0,0.5,0.5,0.0031414604964852,-0.0014595464273444,0.0031414604964852,0.0046010069238296,0.0046010069238296,True,True
2010-12-01,0,0.5,0.75,0.75,0.0195533820483939,-0.0155337615261235,0.0195533820483939,0.0350871435745174,0.0350871435745174,True,True
2010-12-02,0,0.75,1.0,1.0,0.0088303599406355,0.0025505623405859,0.0088303599406355,0.0062797976000496,0.0062797976000496,True,True
2010-12-03,0,1.0,1.0,1.0,0.0083527981175133,0.0083527981175133,0.0083527981175133,0.0,0.0,False,True
2010-12-06,0,1.0,0.75,0.75,0.0001725939396976,-0.0136238014248958,0.0001725939396976,0.0137963953645934,0.0137963953645934,True,True
2010-12-07,0,0.75,1.0,1.0,0.0070834381266539,0.0052744283479858,0.0070834381266539,0.0018090097786681,0.0018090097786681,True,True
2010-12-08,0,1.0,0.5,0.5,0.0079902539180378,-0.0336173912980688,0.0079902539180378,0.041607645216106603,0.041607645216106603,True,True
2010-12-09,0,0.5,0.5,0.5,0.0089938206328716,0.0089938206328716,0.0089938206328716,0.0,0.0,False,True
2010-12-10,0,0.5,1.0,1.0,0.0129257722275137,0.0017289589346245,0.0129257722275137,0.011196813292889199,0.011196813292889199,True,True
2010-12-13,0,1.0,1.0,1.0,0.0070956793184564,0.0070956793184564,0.0070956793184564,0.0,0.0,False,True
2010-12-14,0,1.0,1.0,1.0,0.0073560842828404,0.0073560842828404,0.0073560842828404,0.0,0.0,False,True
2010-12-15,0,1.0,0.5,0.5,0.0039972925888906,-0.0001926336991151,0.0039972925888906,0.0041899262880057,0.0041899262880057,True,True
2010-12-16,0,0.5,1.0,1.0,0.013988244163263,0.0067439726228477,0.013988244163263,0.007244271540415301,0.007244271540415301,True,True
2010-12-17,0,1.0,0.5,0.5,0.0143770327477165,-0.0100422479824509,0.0143770327477165,0.0244192807301674,0.0244192807301674,True,True
2010-12-20,0,0.5,0.5,0.5,0.0082272137864948,0.0082272137864948,0.0082272137864948,0.0,0.0,False,True
2010-12-21,0,0.5,1.0,1.0,0.007133129018795,0.0050174595036903,0.007133129018795,0.0021156695151047,0.0021156695151047,True,True
2010-12-22,0,1.0,0.5,0.5,0.0046122198858668,-0.0006061168015982,0.0046122198858668,0.005218336687465,0.005218336687465,True,True
2010-12-23,0,0.5,0.75,0.75,0.0087559115027522,0.0038546793872152,0.0087559115027522,0.0049012321155369985,0.0049012321155369985,True,True
2010-12-27,0,0.75,1.0,1.0,0.0109271810547931,-0.001181557242954,0.0109271810547931,0.0121087382977471,0.0121087382977471,True,True
2010-12-28,0,1.0,1.0,1.0,0.0130593439608082,0.0130593439608082,0.0130593439608082,0.0,0.0,False,True
2010-12-29,0,1.0,1.0,1.0,0.0069809892870558,0.0069809892870558,0.0069809892870558,0.0,0.0,False,True
2010-12-30,1,1.0,0.5,0.5,0.0057098024362724,-0.028746015987407,0.0057098024362724,0.034455818423679396,0.034455818423679396,True,True
2010-12-31,1,0.5,0.5,0.25,0.0002461528959019,0.0002461528959019,0.0005669408267769,0.0,0.000320787930875,False,False
2011-01-03,1,0.5,0.25,0.25,3.243828133944949e-05,-0.0025304826572973,3.243828133944949e-05,0.0025629209386367497,0.0025629209386367497,True,True
2011-01-04,1,0.25,0.0,0.0,0.0022489207196988,-0.0002962530841429,0.0022489207196988,0.0025451738038416998,0.0025451738038416998,True,True
2011-01-05,1,0.0,0.25,0.25,0.0011788203564191,-0.0033041417662403,0.0011788203564191,0.0044829621226594,0.0044829621226594,True,True
2011-01-06,1,0.25,0.0,0.0,0.0016422636131809,0.0011308330841864,0.0016422636131809,0.0005114305289945001,0.0005114305289945001,True,True
2011-01-07,1,0.0,0.0,0.0,0.0021761318305778,0.0021761318305778,0.0021761318305778,0.0,0.0,False,True
2011-01-10,1,0.0,0.25,0.25,0.0024160256518124,0.0010542566228217,0.0024160256518124,0.0013617690289907001,0.0013617690289907001,True,True
2011-01-11,1,0.25,0.25,0.25,0.0011915099132716,0.0011915099132716,0.0011915099132716,0.0,0.0,False,True
2011-01-12,1,0.25,0.25,0.25,0.0025258030825385,0.0025258030825385,0.0025258030825385,0.0,0.0,False,True
2011-01-13,1,0.25,0.5,0.5,0.001290590273289,-0.0031296783946601,0.001290590273289,0.0044202686679491,0.0044202686679491,True,True
2011-01-14,1,0.5,0.5,0.5,0.0010047426181673,0.0010047426181673,0.0010047426181673,0.0,0.0,False,True
2011-01-18,1,0.5,0.25,0.25,0.0018387974501162,-0.0032188698391047,0.0018387974501162,0.0050576672892209,0.0050576672892209,True,True
2011-01-19,1,0.25,0.25,0.25,0.0011391948823292,0.0011391948823292,0.0011391948823292,0.0,0.0,False,True
2011-01-20,1,0.25,0.25,0.25,0.0051709235559634,0.0051709235559634,0.0051709235559634,0.0,0.0,False,True
2011-01-21,1,0.25,0.5,0.5,0.0029616296937216,-9.231763305091712e-05,0.0029616296937216,0.003053947326772517,0.003053947326772517,True,True
2011-01-24,1,0.5,0.25,0.25,0.0024246609287726,0.0006549109911384,0.0024246609287726,0.0017697499376342,0.0017697499376342,True,True
2011-01-25,1,0.25,0.25,0.25,0.0022601382521667,0.0022601382521667,0.0022601382521667,0.0,0.0,False,True
2011-01-26,1,0.25,0.0,0.0,-0.0005318686578397,-0.0052806740728228,-0.0005318686578397,0.0047488054149831,0.0047488054149831,True,True
2011-01-27,1,0.0,0.25,0.25,-6.679657271006355e-05,-0.0041354052929861,-6.679657271006355e-05,0.004068608720276036,0.004068608720276036,True,True
2011-01-28,2,0.25,0.0,0.0,0.004157943471562,0.0003583811830757,0.004157943471562,0.0037995622884863,0.0037995622884863,True,True
2011-01-31,1,0.0,0.25,0.25,0.0011803936148251,-0.0006628114521786,0.0011803936148251,0.0018432050670037,0.0018432050670037,True,True
2011-02-01,1,0.25,0.25,0.25,0.0024531484768187,0.0024531484768187,0.0024531484768187,0.0,0.0,False,True
2011-02-02,1,0.25,0.5,0.5,0.001491682451506,-0.000448417163038,0.001491682451506,0.001940099614544,0.001940099614544,True,True
2011-02-03,1,0.5,0.0,0.0,-0.0006414524670462,-0.0031940957088595,-0.0006414524670462,0.0025526432418132997,0.0025526432418132997,True,True
2011-02-04,1,0.0,0.5,0.5,0.0037421600372783,0.0020157566692983,0.0037421600372783,0.0017264033679799998,0.0017264033679799998,True,True
2011-02-07,1,0.5,0.5,0.0,-0.0002613567235051,-0.0002613567235051,0.0001677770339928,0.0,0.00042913375749789996,False,False
2011-02-08,1,0.5,0.0,0.0,0.000565169733955,-0.0037817585846721,0.000565169733955,0.0043469283186271,0.0043469283186271,True,True
2011-02-09,1,0.0,0.0,0.0,0.0004416906658286,0.0004416906658286,0.0004416906658286,0.0,0.0,False,True
2011-02-10,1,0.0,0.0,0.0,0.0020196443943645,0.0020196443943645,0.0020196443943645,0.0,0.0,False,True
2011-02-11,1,0.0,0.5,0.5,0.0034357267095264,-0.0009224819196646,0.0034357267095264,0.004358208629191,0.004358208629191,True,True
2011-02-14,1,0.5,0.25,0.25,0.0027833318906059,0.0002265234484996,0.0027833318906059,0.0025568084421062997,0.0025568084421062997,True,True
2011-02-15,1,0.25,0.25,0.25,0.0006241883736497,0.0006241883736497,0.0006241883736497,0.0,0.0,False,True
2011-02-16,1,0.25,0.5,0.5,0.0068921991610015,-0.005387004477822,0.0068921991610015,0.0122792036388235,0.0122792036388235,True,True
2011-02-17,1,0.5,0.5,0.5,0.0039373739235614,0.0039373739235614,0.0039373739235614,0.0,0.0,False,True
2011-02-18,1,0.5,0.5,0.0,-0.0002413825413558,-0.0002413825413558,1.18937176537867e-05,0.0,0.0002532762590095867,False,False
2011-02-22,2,0.5,0.25,0.25,0.0027216460485364,-0.0038013212170712,0.0027216460485364,0.0065229672656075995,0.0065229672656075995,True,True
2011-02-23,2,0.25,0.25,0.25,0.0008830257299963,0.0008830257299963,0.0008830257299963,0.0,0.0,False,True
2011-02-24,2,0.25,0.5,0.5,0.0100737846257013,0.0057394994565619,0.0100737846257013,0.004334285169139401,0.004334285169139401,True,True
2011-02-25,2,0.5,0.5,0.5,0.0044559407366087,0.0044559407366087,0.0044559407366087,0.0,0.0,False,True
2011-02-28,1,0.5,0.25,0.25,0.0003447187322625,-0.0021623877799239,0.0003447187322625,0.0025071065121864003,0.0025071065121864003,True,True
2011-03-01,2,0.25,0.5,0.5,0.0011036991092473,-0.0005178386686979,0.0011036991092473,0.0016215377779452002,0.0016215377779452002,True,True
2011-03-02,1,0.5,0.5,0.5,0.0060481909861407,0.0060481909861407,0.0060481909861407,0.0,0.0,False,True
2011-03-03,1,0.5,0.25,0.25,-7.958065283353884e-05,-0.002443445636613,-7.958065283353884e-05,0.0023638649837794613,0.0023638649837794613,True,True
2011-03-04,1,0.25,0.25,0.25,0.0011313001841402,0.0011313001841402,0.0011313001841402,0.0,0.0,False,True
2011-03-07,2,0.25,0.25,0.25,0.0025013639595134,0.0025013639595134,0.0025013639595134,0.0,0.0,False,True
2011-03-08,2,0.25,0.25,0.25,0.001377738293081,0.001377738293081,0.001377738293081,0.0,0.0,False,True
2011-03-09,2,0.25,0.25,0.25,0.006694039510058,0.006694039510058,0.006694039510058,0.0,0.0,False,True
2011-03-10,2,0.25,0.25,0.25,0.0084315248804415,0.0084315248804415,0.0084315248804415,0.0,0.0,False,True
2011-03-11,2,0.25,0.0,0.0,0.001386028700982,-0.0050604359941731,0.001386028700982,0.0064464646951551,0.0064464646951551,True,True
2011-03-14,2,0.0,0.25,0.25,0.0049512374924058,-0.004980219175615,0.0049512374924058,0.0099314566680208,0.0099314566680208,True,True
