date,regime,previous_template,chosen_template,value_template_0,value_template_1,value_template_2,value_template_3,value_template_4,visits_template_0,visits_template_1,visits_template_2,visits_template_3,visits_template_4
2010-12-27,0,1,1,0.005246315701635856,0.008163883712741727,0.0014673821669277942,-0.007998477175479492,0.00425504202113748,20,20,20,20,20
2010-12-28,0,1,3,-0.002051630222960181,0.0005248728561146759,-0.007269977673586063,0.01832474836656438,-0.0004927672910412636,20,20,19,21,20
2010-12-29,0,3,2,0.0003609621562912572,0.0016536902760410192,0.007239942011407351,-0.018236606337964967,0.0010854311861657837,20,20,21,19,20
2010-12-30,1,2,3,-0.0037969809070347222,0.00132127675993688,-0.0016796064012087788,0.009048557175949415,-0.00079831315489874,20,20,20,20,20
2010-12-31,1,3,3,0.0022506528994712272,0.0010420205201903247,0.006590930251240713,0.01140574736732752,0.001171814362014223,20,20,20,20,20
2011-01-03,1,3,0,0.002320070286169814,0.002042599131732015,-2.978966059340592e-05,-0.007452229196870707,0.0015225871654446724,20,20,20,20,20
2011-01-04,1,0,4,-0.010314774856960179,-0.003173379331335752,-0.0024855377623515923,0.003520114718541166,0.005269599523300966,20,20,20,20,20
2011-01-05,1,4,1,-0.001914762110587332,0.0067251073207724886,-0.007791913065942973,-0.0009067411365398049,0.0016502776732427462,20,20,20,20,20
2011-01-06,1,1,1,-0.0008068514970516209,0.0008571937940845969,-0.0027399907729411645,-0.0030129652311636163,0.0004803758973407216,20,20,20,20,20
2011-01-07,1,1,1,-0.003510955730228818,-3.074590673519968e-05,-0.0014092462014933733,-0.003939806838218422,-0.0070612852370545934,20,20,20,20,20
2011-01-10,1,1,0,0.0019176777148314473,-0.0027948071914950376,-0.0015088556858901144,-0.02900467115193962,-0.00016035359055431028,21,20,20,19,20
2011-01-11,1,0,3,0.006443354122038921,0.002855934930880568,0.00269016880711589,0.014968056027037258,-0.00451689100775937,20,20,20,21,19
2011-01-12,1,3,1,-0.007616771375959223,0.008562425863819542,-0.011946454133738401,0.0011574011968277815,-0.006810300330956915,20,21,19,20,20
2011-01-13,1,1,3,0.003806855669668327,0.004017368395909568,-0.0063427527757655075,0.006102996550534699,0.0003533715345704232,20,20,20,20,20
2011-01-14,1,3,2,-0.006211725675638314,-0.0029881215931504613,0.0007082792442665277,-0.0013483900492907658,-0.0009400033345009518,20,20,20,20,20
2011-01-18,1,2,0,0.008100075500515882,0.0016273588106182895,-0.007242404791995819,0.00013803437437175667,-0.0007862561350872821,20,20,20,20,20
2011-01-19,1,0,0,0.005724276668615571,-0.0024845649736955945,-0.00764454255408961,-0.0010647692533367976,-0.004266442678206304,20,20,20,20,20
2011-01-20,1,0,1,-0.006797279749659897,0.001576273185446339,-0.003636226657745065,-0.007483483496751033,-0.0018791525955010903,20,20,20,20,20
2011-01-21,1,1,0,0.00922674569681896,0.00027966249421355427,-0.006527841245958255,0.0005236459463045095,-0.0023136942035949077,20,20,20,20,20
2011-01-24,1,0,1,-0.003758387104699257,0.008685295026668552,0.006015016532540495,-0.0055544186561798155,5.917415290634356e-06,20,20,20,20,20
2011-01-25,1,1,1,0.0026533089876593515,0.005797081967591144,0.00019335327451167988,0.006202865841909726,0.0026469816986109105,20,20,20,20,20
2011-01-26,1,1,4,-0.003354300270772875,-0.011235802811401649,0.0005896595491206537,-0.008935941472402674,0.004268228202312747,20,20,20,20,20
2011-01-27,1,4,3,-0.000708655882094948,0.004052034008977184,0.0036142294541352442,0.012585533403488253,-0.0023408280406361412,20,20,20,20,20
2011-01-28,2,3,3,-0.008428923052715306,-0.03225969896110694,-0.005143707480144024,-0.0009872936447001299,-0.0002270420347036156,20,19,20,20,21
2011-01-31,1,3,3,-0.0011877413157960284,-0.011796056045213488,0.0013010824928171663,0.003246018843527294,0.0006763505125039273,20,20,20,20,20
2011-02-01,1,3,3,0.004297876211979485,-0.007149622917881238,-0.020809646957210517,0.005005972488026214,0.002157835645071284,20,20,19,21,20
2011-02-02,1,3,2,-0.0014065615051563664,-0.00030201928119138316,0.008179587596894055,0.004027543552157953,0.004508212686705479,20,20,20,20,20
2011-02-03,1,2,3,-0.010423632516152729,-0.0017568768598839241,-0.016425853850622223,0.0035106572209179306,0.0006211196718636863,20,20,19,21,20
2011-02-04,1,3,1,-0.005279053886951693,0.004042905078280721,-0.0011234165072428466,-0.002229808256026323,-0.0011999402369360997,20,20,20,20,20
2011-02-07,1,1,2,-0.013758629305868596,0.0009713421586416502,0.004670809916133536,-0.0003776506478643625,0.0018852484406365962,19,20,21,20,20
2011-02-08,1,2,3,-0.0006232239796684561,-0.005032125426671695,0.00018823908662173177,0.0013930791162980246,-0.0012213984894155756,20,20,20,20,20
2011-02-09,1,3,2,-0.004834691442954152,-0.012246384501024174,0.0018396010584431322,-0.021827424097865377,3.937476821862986e-05,20,20,21,19,20
2011-02-10,1,2,3,0.003091520203441716,-0.0002802396468154526,0.0029418281167554157,0.008630201081738476,-0.000970248555109824,20,20,20,20,20
2011-02-11,1,3,2,-0.009416023061242122,-0.00367162955389187,0.008426264003933048,0.005315321177197839,0.001416834180055131,20,20,20,20,20
2011-02-14,1,2,0,-0.0007143134667988136,-0.004216384376293286,-0.003947263437235712,-0.003846204801447907,-0.0026107881819679873,20,20,20,20,20
2011-02-15,1,0,4,-0.0034596424098586654,-0.0011438045521005055,-0.011868214132557498,-0.0008975880638159817,0.00018583027725065524,20,20,20,20,20
2011-02-16,1,4,4,-0.002593795345973071,-0.004525829792582944,-0.0025163563832731753,0.000808316385297135,0.0013744239601185784,20,20,20,20,20
2011-02-17,1,4,4,0.0009570434921392411,0.00021609143323466214,-0.0014606940337130226,-0.0015706028695845263,0.0003014160885099386,20,20,20,20,20
2011-02-18,1,4,3,-0.0071889357284216845,-0.005625328758670589,0.003305128567786679,0.004451416145625364,0.0029298148805105726,20,20,20,20,20
2011-02-22,2,3,3,-0.003781147292048885,-0.00793141131734799,0.005243298147606526,0.006445550438573202,0.0067594726339259,20,20,20,20,20
2011-02-23,2,3,2,0.0001410297201640616,-0.0212694891916386,0.008027340122986231,-0.00401319307186963,-0.005241975460666443,20,19,21,20,20
