date,regime,previous_template,chosen_template,value_template_0,value_template_1,value_template_2,value_template_3,value_template_4,visits_template_0,visits_template_1,visits_template_2,visits_template_3,visits_template_4
2011-03-01,2,3,4,-0.0006294476974812975,0.0007129033801149442,-0.008986674203587673,-0.015832614931774833,0.005336568281157082,20,20,20,19,21
2011-03-02,1,4,2,0.0037493314749684342,-0.004692884215989929,0.01039129141125043,0.005137876537760636,0.003918351505649707,20,20,20,20,20
2011-03-03,1,2,1,0.002394368323666316,0.004368618445247402,-0.009870519248981765,-0.011023648147052938,0.0002752973859122233,20,20,20,20,20
2011-03-04,1,1,3,-0.004832258785289647,-0.0004234373450680822,0.00281163073901539,0.007080853980176232,0.0009498103910792841,20,20,20,20,20
2011-03-07,2,3,0,0.02364938413632868,0.0006933722604444512,-0.01185393534069093,-0.025563048903655926,-0.00020403629852658355,22,20,19,19,20
2011-03-08,2,0,0,0.0038413510015608185,-0.005336363425092109,-0.006251980469197593,-0.00284567544983052,0.0016952729882596363,20,20,20,20,20
2011-03-09,2,0,0,0.007801036196348946,0.0014530444180124022,0.008193808198108216,-0.02045368012640032,0.0013167261492581341,21,20,20,19,20
2011-03-10,2,0,4,0.0004264654589825989,-0.005001464608016,-0.01380163061746093,-0.0052753776814178175,0.0017991438601842654,20,20,20,20,20
2011-03-11,2,4,0,0.00764429078147951,-0.027540518013176883,-0.01087099282655694,0.0005670997009226536,0.0007136524288521247,21,19,20,20,20
2011-03-14,2,0,3,-0.020819333446445255,-0.000941954609298213,-0.000667949943734797,0.014984651506108882,-0.004576487480061127,19,20,20,21,20
2011-03-15,2,3,1,-0.0029207052120774155,0.007020756758162353,-0.011900667431952679,-0.004701562765239918,-0.003547912410366673,20,21,19,20,20
2011-03-16,2,1,1,-0.0035494702584808885,0.011757789414405685,0.0015359971483473373,0.01060348661487404,0.0030818395669003546,20,20,20,20,20
2011-03-17,2,1,0,0.009190430850241767,-0.007635655607721341,0.0031516207976765792,-0.0108001658223637,0.0044251561288043955,21,20,20,19,20
2011-03-18,2,0,4,0.005970100205958613,-0.01996825927305896,0.004344520704878603,0.005200792898679327,0.011971241181001872,20,19,20,20,21
2011-03-21,2,4,1,-0.000568578895663531,0.004729922969979769,-0.013795162433621402,-0.0006942935253694405,-0.0070180545547808785,20,21,19,20,20
2011-03-22,2,1,2,-0.004103333746210192,0.0013485894851559366,0.006325661945831775,-0.005297801074403866,0.0011212551678850859,20,20,20,20,20
2011-03-23,2,2,2,0.0004417410081167739,0.00445196124894232,0.007354967617268874,-0.00903467818179712,-0.0066747193080217565,20,20,20,20,20
