date,regime,previous_action,chosen_action,best_action,chosen_value,previous_value,best_value,chosen_minus_previous,best_minus_previous,switched,chose_best
2010-10-18,0,0.0,1.0,1.0,-0.0071341570730675,-0.0146833366599591,-0.0071341570730675,0.007549179586891599,0.007549179586891599,True,True
2010-10-19,0,1.0,0.5,0.5,0.0048547036262236,-0.0164614613557282,0.0048547036262236,0.0213161649819518,0.0213161649819518,True,True
2010-10-20,0,0.5,1.0,1.0,0.0155399165247705,0.0106465582400576,0.0155399165247705,0.004893358284712901,0.004893358284712901,True,True
2010-10-21,0,1.0,0.5,0.5,0.0089105095060928,0.0023143066900856,0.0089105095060928,0.0065962028160072,0.0065962028160072,True,True
2010-10-22,0,0.5,1.0,1.0,-6.426323570744903e-05,-0.0192314363890739,-6.426323570744903e-05,0.01916717315336645,0.01916717315336645,True,True
2010-10-25,0,1.0,1.0,1.0,0.0039113400709676,0.0039113400709676,0.0039113400709676,0.0,0.0,False,True
2010-10-26,0,1.0,0.75,0.75,0.008215246839534,0.0069671209421649,0.008215246839534,0.0012481258973691001,0.0012481258973691001,True,True
2010-10-27,0,0.75,0.5,0.5,-0.0099522325049519,-0.0407268905583353,-0.0099522325049519,0.030774658053383405,0.030774658053383405,True,True
2010-10-28,0,0.5,1.0,1.0,0.0142228339212792,-0.0130311428166899,0.0142228339212792,0.0272539767379691,0.0272539767379691,True,True
2010-10-29,0,1.0,0.75,0.75,0.002713155196216,-0.0011317534471891,0.002713155196216,0.0038449086434051,0.0038449086434051,True,True
2010-11-01,0,0.75,1.0,1.0,-0.0059806919376409,-0.0232899398147589,-0.0059806919376409,0.017309247877118,0.017309247877118,True,True
2010-11-02,0,1.0,1.0,1.0,-0.006760257901775,-0.006760257901775,-0.006760257901775,0.0,0.0,False,True
2010-11-03,0,1.0,0.75,0.75,0.0058643042037341,-0.0108387359042466,0.0058643042037341,0.0167030401079807,0.0167030401079807,True,True
2010-11-04,0,0.75,0.75,0.75,0.0074122821558752,0.0074122821558752,0.0074122821558752,0.0,0.0,False,True
2010-11-05,0,0.75,1.0,1.0,0.0052777551363013,-0.0029595101624703,0.0052777551363013,0.0082372652987716,0.0082372652987716,True,True
2010-11-08,0,1.0,0.75,0.75,0.0043826690693777,-0.017410561790082,0.0043826690693777,0.0217932308594597,0.0217932308594597,True,True
2010-11-09,0,0.75,1.0,1.0,0.0178146270036803,0.0139506063124583,0.0178146270036803,0.003864020691221999,0.003864020691221999,True,True
2010-11-10,0,1.0,1.0,1.0,0.0098888172851779,0.0098888172851779,0.0098888172851779,0.0,0.0,False,True
2010-11-11,0,1.0,1.0,1.0,0.0071016546179576,0.0071016546179576,0.0071016546179576,0.0,0.0,False,True
2010-11-12,0,1.0,0.5,0.5,0.0075068452907945,0.0045310560069174,0.0075068452907945,0.0029757892838771,0.0029757892838771,True,True
