strategy,avg_position,annualized_turnover,min_position,max_position,position_0pct_days,position_25pct_days,position_50pct_days,position_75pct_days,position_100pct_days
Buy & Hold,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
MA200 Trend,0.8055286129970902,4.8273520853540255,0.0,1.0,0.1944713870029098,0.0,0.0,0.0,0.8055286129970902
Vol Target,0.7583274791731945,4.407098887862576,0.0,1.0,0.004849660523763337,0.0,0.00024248302618816683,0.0,0.3157129000969932
Regime Rule,0.34408341416100874,17.965082444228905,0.0,1.0,0.6559165858389913,0.0,0.0,0.0,0.34408341416100874
Regime Rule SPY/Cash,0.34408341416100874,8.982541222114452,0.0,1.0,0.6559165858389913,0.0,0.0,0.0,0.34408341416100874
Market Attractor MCTS,0.4213142580019399,54.27715809893307,0.0,1.0,0.24612027158098934,0.19277400581959264,0.32129000969932103,0.10935984481086324,0.13045586808923376
Market Attractor MCTS MultiAsset,0.4571411251212415,194.49951503394763,0.0,1.0,0.3974296799224054,0.0,0.19568380213385064,0.19034917555771097,0.21653734238603298
