Date,Buy & Hold,MA200 Trend,Vol Target,Regime Rule,Regime Rule SPY/Cash,Market Attractor MCTS,Market Attractor MCTS MultiAsset
2024-11-27,-0.003030163234722827,-0.003030163234722716,-0.0021284219124488857,-0.01492985075090214,-0.004361951101895634,-0.003130163234722927,-0.3077074354028263
2024-11-29,0.0,0.0,0.0,-0.00881053041402724,0.0,-0.00013353983381159118,-0.30354532712582116
2024-12-02,0.0,0.0,0.0,-0.007033857934089949,0.0,0.0,-0.3041663493209431
2024-12-03,0.0,0.0,0.0,-0.006573133156158706,0.0,0.0,-0.30398265730433527
2024-12-04,0.0,0.0,0.0,-0.0004046538534040467,0.0,0.0,-0.3041218607728744
2024-12-05,-0.0016453960401708878,-0.0016453960401708878,-0.0014565877785492898,-0.0020493840777269234,-0.0016453960401708878,-0.0016953960401708823,-0.3061321278113085
2024-12-06,0.0,0.0,0.0,-0.001522471315884677,-0.0018450669609628711,-0.0008490663667778398,-0.3052913234343818
2024-12-09,-0.0051497285097474865,-0.0051497285097473755,-0.0051497285097474865,-0.0011717024927684339,-0.0018450669609628711,-0.0009489814601412183,-0.3090078262473738
2024-12-10,-0.008242836582493807,-0.008242836582493807,-0.008242836582493918,0.0,-0.0018450669609628711,-0.0009489814601412183,-0.3091460246821244
2024-12-11,-0.0005758946094466255,-0.0005758946094466255,-0.0005758946094467365,0.0,-0.0018450669609628711,-0.0009489814601412183,-0.30925677120867767
2024-12-12,-0.005725418683762973,-0.005725418683763195,-0.005725418683763195,-0.013405435142942457,-0.0018450669609628711,-0.003622687435764771,-0.3185164847626665
2024-12-13,-0.005923005527934122,-0.005923005527934122,-0.005923005527934344,-0.024407269387664687,-0.0018450669609628711,-0.003722325167021201,-0.32056216890008804
2024-12-16,-0.001678108236294551,-0.001678108236294662,-0.001678108236294995,-0.021768234471279735,-0.0018450669609628711,-0.003722325167021201,-0.3177287842900134
2024-12-17,-0.005791349110296995,-0.005791349110297106,-0.005791349110297328,-0.02245565808019545,-0.0018450669609628711,-0.004798343646642,-0.3178652385331554
2024-12-18,-0.03542222049587851,-0.03542222049587862,-0.03542222049587884,-0.037944535185404304,-0.0018450669609628711,-0.019678336928363738,-0.3178652385331554
2024-12-19,-0.03571834521784634,-0.03571834521784645,-0.035696357933153844,-0.04454434028893195,-0.0018450669609628711,-0.019828815970118763,-0.3178652385331554
2024-12-20,-0.024136362521261168,-0.02413636252126128,-0.026579918281802062,-0.03683947097416518,-0.0018450669609628711,-0.019926833088521723,-0.3111547125956887
2024-12-23,-0.018292575722883564,-0.018292575722883675,-0.022205799355939138,-0.043524246573866554,-0.0018450669609628711,-0.019926833088521723,-0.3114826495458414
2024-12-24,-0.007381039022635094,-0.007381039022635205,-0.014117186873633059,-0.040549355322176295,-0.0018450669609628711,-0.014578154322769432,-0.3065855288701359
2024-12-26,-0.007314904160670044,-0.007314904160670155,-0.01407555794734705,-0.040869210611411244,-0.001978194242411413,-0.0146110411649516,-0.3045807775176873
2024-12-27,-0.017764519004317747,-0.01776451900431797,-0.021574926125270788,-0.05096561215486384,-0.012483986582237816,-0.019895985666281923,-0.30471986136218376
2024-12-30,-0.028973304821405255,-0.028973304821405477,-0.0293739782973651,-0.04904519543747565,-0.01268148978492123,-0.022741106510265285,-0.309412609438512
2024-12-31,-0.032505949071045426,-0.03250594907104565,-0.031786559872759135,-0.04862655785385761,-0.01268148978492123,-0.022789969454939718,-0.30955072691662433
2025-01-02,-0.034883124264032506,-0.03488312426403284,-0.03341106778414504,-0.04085574436874129,-0.01268148978492123,-0.023439091901416353,-0.30404923058523003
2025-01-03,-0.02281581185398396,-0.022815811853984402,-0.025153541015799363,-0.046160574352999584,-0.01268148978492123,-0.020386491262639028,-0.3017621004717419
2025-01-06,-0.01718658004055995,-0.017186580040560395,-0.021471195953994826,-0.048879065527794974,-0.01268148978492123,-0.017613858778991243,-0.3007459496501126
2025-01-07,-0.028296419108988613,-0.028296419108989057,-0.02864647992805991,-0.0515631055045791,-0.01268148978492123,-0.020439230350818405,-0.3087156523764104
2025-01-08,-0.026876921693052558,-0.026876921693053113,-0.027753236788123803,-0.04843512759971691,-0.01268148978492123,-0.01977272065795277,-0.30885390924593514
2025-01-10,-0.04173395999607499,-0.04173395999607543,-0.03715205068494187,-0.04703974516564702,-0.01268148978492123,-0.02356310722910071,-0.31805092619303443
2025-01-13,-0.040248225500457924,-0.04024822550045848,-0.036257055951749884,-0.05194857288316457,-0.01268148978492123,-0.02285497541274084,-0.31934686651842326
